
=================================================================================================================================
IPv4 Statistics/All Addresses:
Topic / Item      Count         Average       Min Val       Max Val       Rate (ms)     Percent       Burst Rate    Burst Start  
---------------------------------------------------------------------------------------------------------------------------------
All Addresses     2184                                                    0,0397        100%          0,1700        152,792      
 191.219.157.126  9                                                       0,0002        0,41%         0,0200        143,796      
 191.183.151.4    6                                                       0,0001        0,27%         0,0200        162,349      
 191.176.18.94    7                                                       0,0001        0,32%         0,0200        162,843      
 189.44.35.194    6                                                       0,0001        0,27%         0,0200        175,381      
 189.224.148.31   6                                                       0,0001        0,27%         0,0200        159,771      
 188.20.226.104   7                                                       0,0001        0,32%         0,0200        152,751      
 187.219.105.163  9                                                       0,0002        0,41%         0,0200        149,080      
 187.212.53.198   7                                                       0,0001        0,32%         0,0200        151,026      
 187.201.58.79    6                                                       0,0001        0,27%         0,0200        162,623      
 187.201.238.215  7                                                       0,0001        0,32%         0,0200        154,884      
 187.117.86.87    9                                                       0,0002        0,41%         0,0200        148,196      
 186.97.106.183   4                                                       0,0001        0,18%         0,0200        175,523      
 186.97.105.131   9                                                       0,0002        0,41%         0,0200        148,783      
 186.150.123.67   4                                                       0,0001        0,18%         0,0200        179,568      
 186.150.111.224  8                                                       0,0001        0,37%         0,0200        162,332      
 186.100.116.57   9                                                       0,0002        0,41%         0,0200        143,782      
 185.7.222.87     4                                                       0,0001        0,18%         0,0200        177,044      
 185.251.63.104   7                                                       0,0001        0,32%         0,0200        155,116      
 185.0.116.138    6                                                       0,0001        0,27%         0,0200        173,366      
 185.0.105.161    6                                                       0,0001        0,27%         0,0200        163,790      
 184.186.164.225  9                                                       0,0002        0,41%         0,0200        148,500      
 183.154.56.44    7                                                       0,0001        0,32%         0,0200        151,282      
 183.154.219.199  4                                                       0,0001        0,18%         0,0200        177,098      
 182.58.169.127   7                                                       0,0001        0,32%         0,0200        157,102      
 181.65.37.219    7                                                       0,0001        0,32%         0,0200        154,853      
 180.100.95.14    7                                                       0,0001        0,32%         0,0200        154,098      
 179.209.252.13   8                                                       0,0001        0,37%         0,0200        144,533      
 177.9.3.65       7                                                       0,0001        0,32%         0,0200        150,834      
 177.170.234.72   6                                                       0,0001        0,27%         0,0200        173,382      
 177.153.253.235  4                                                       0,0001        0,18%         0,0200        174,503      
 177.153.177.22   7                                                       0,0001        0,32%         0,0200        153,037      
 175.66.34.236    4                                                       0,0001        0,18%         0,0200        176,844      
 175.169.77.218   4                                                       0,0001        0,18%         0,0200        173,566      
 175.158.15.4     8                                                       0,0001        0,37%         0,0200        143,914      
 175.149.152.29   9                                                       0,0002        0,41%         0,0200        148,394      
 174.208.67.225   4                                                       0,0001        0,18%         0,0200        177,187      
 174.208.223.167  9                                                       0,0002        0,41%         0,0200        148,626      
 174.198.247.242  6                                                       0,0001        0,27%         0,0200        177,721      
 174.107.252.138  6                                                       0,0001        0,27%         0,0200        178,194      
 172.49.204.95    6                                                       0,0001        0,27%         0,0200        163,748      
 172.235.30.18    6                                                       0,0001        0,27%         0,0200        170,122      
 172.199.182.57   8                                                       0,0001        0,37%         0,0200        144,154      
 172.17.56.13     6                                                       0,0001        0,27%         0,0200        170,996      
 171.91.53.24     9                                                       0,0002        0,41%         0,0200        143,858      
 171.81.68.88     8                                                       0,0001        0,37%         0,0200        144,281      
 171.81.134.143   7                                                       0,0001        0,32%         0,0200        157,782      
 171.4.75.90      9                                                       0,0002        0,41%         0,0200        149,466      
 171.11.54.3      1                                                       0,0000        0,05%         0,0100        152,153      
 171.11.242.95    9                                                       0,0002        0,41%         0,0200        148,211      
 170.206.54.172   9                                                       0,0002        0,41%         0,0200        148,123      
 170.206.225.185  9                                                       0,0002        0,41%         0,0200        148,750      
 170.176.64.65    7                                                       0,0001        0,32%         0,0200        156,893      
 169.144.54.117   8                                                       0,0001        0,37%         0,0200        169,666      
